UniprotAccession	Organism	Kingdom	ProteinLength	TMHelixFirst90
I6VSD2	Capra hircus	Metazoa	224	True
Q5DT39	Rattus norvegicus	Metazoa	243	True
Q709R6	Drosophila melanogaster	Metazoa	399	False
Q03433	Saccharomyces cerevisiae	Fungi	280	False
Q9SPU7	Arabidopsis thaliana	Viridiplantae	1123	False
Q92351	Schizosaccharomyces pombe	Fungi	1208	False
Q8IVE3	Homo sapiens	Metazoa	1493	False
Q8IWA0	Homo sapiens	Metazoa	830	False
O75004	Schizosaccharomyces pombe	Fungi	501	False
Q9D219	Mus musculus	Metazoa	1425	False
P40971	Saccharomyces cerevisiae	Fungi	790	False
Q9UBK9	Homo sapiens	Metazoa	157	False
Q7YZH1	Drosophila melanogaster	Metazoa	3241	False
A9D2P7	Caenorhabditis elegans	Metazoa	672	False
Q8N895	Homo sapiens	Metazoa	744	False
Q9H0G5	Homo sapiens	Metazoa	558	False
Q2NND9	Arabidopsis thaliana	Viridiplantae	371	False
Q9DAG4	Mus musculus	Metazoa	180	False
Q0E3V2	Oryza sativa subsp. japonica	Viridiplantae	165	False
P48771	Mus musculus	Metazoa	83	True
Q9Y6P5	Homo sapiens	Metazoa	492	False
Q0WV90	Arabidopsis thaliana	Viridiplantae	1120	False
Q9V463	Drosophila melanogaster	Metazoa	1365	False
Q43295	Arabidopsis thaliana	Viridiplantae	276	False
P49590	Homo sapiens	Metazoa	506	False
P19824	Chlamydomonas reinhardtii	Viridiplantae	375	False
Q01962	Komagataella pastoris	Fungi	713	False
Q7Z7C8	Homo sapiens	Metazoa	310	False
Q96BU1	Homo sapiens	Metazoa	408	False
Q9FNZ4	Arabidopsis thaliana	Viridiplantae	112	False
P25299	Saccharomyces cerevisiae	Fungi	296	False
Q10168	Schizosaccharomyces pombe	Fungi	598	False
Q9UKK3	Homo sapiens	Metazoa	1724	False
Q9H3L0	Homo sapiens	Metazoa	296	False
A1Z8P9	Drosophila melanogaster	Metazoa	2346	False
Q8C5Y2	Mus musculus	Metazoa	53	True
D3YXJ0	Mus musculus	Metazoa	1211	False
Q99933	Homo sapiens	Metazoa	345	False
P29374	Homo sapiens	Metazoa	1257	False
A0A0P0WQ90	Oryza sativa subsp. japonica	Viridiplantae	416	False
Q9NYG5	Homo sapiens	Metazoa	84	False
Q8CD10	Mus musculus	Metazoa	432	False
Q04231	Saccharomyces cerevisiae	Fungi	177	False
Q6WN19	Rattus norvegicus	Metazoa	469	False
Q9Y6J0	Homo sapiens	Metazoa	2220	False
O88491	Mus musculus	Metazoa	2588	False
Q810H6	Rattus norvegicus	Metazoa	846	False
P32480	Saccharomyces cerevisiae	Fungi	875	False
Q9UGC7	Homo sapiens	Metazoa	380	False
P49107	Arabidopsis thaliana	Viridiplantae	171	False
P40477	Saccharomyces cerevisiae	Fungi	1460	False
P0DOW4	Ramazzottius varieornatus	Metazoa	445	False
P39996	Saccharomyces cerevisiae	Fungi	337	False
Q867Z4	Drosophila melanogaster	Metazoa	970	False
Q9W413	Drosophila melanogaster	Metazoa	544	False
P04197	Drosophila melanogaster	Metazoa	657	False
Q9ES19	Rattus norvegicus	Metazoa	347	False
Q8IY42	Homo sapiens	Metazoa	314	False
Q8S4F6	Arabidopsis thaliana	Viridiplantae	510	False
P70444	Mus musculus	Metazoa	195	False
Q9H6F5	Homo sapiens	Metazoa	360	False
P15343	Equus caballus	Metazoa	58	False
Q9DBA9	Mus musculus	Metazoa	547	False
P26449	Saccharomyces cerevisiae	Fungi	341	False
P32904	Saccharomyces cerevisiae	Fungi	214	False
Q8R1N0	Mus musculus	Metazoa	363	False
Q68E01	Homo sapiens	Metazoa	1043	False
Q9GRZ3	Caenorhabditis elegans	Metazoa	1641	False
Q8IEG9	Plasmodium falciparum	Other	408	False
Q3KPK4	Xenopus laevis	Metazoa	280	False
Q9USY3	Schizosaccharomyces pombe	Fungi	708	False
P41047	Mus musculus	Metazoa	279	True
Q58FA4	Mus musculus	Metazoa	860	False
Q9HCS7	Homo sapiens	Metazoa	855	False
P16862	Saccharomyces cerevisiae	Fungi	959	False
Q945P0	Nicotiana tabacum	Viridiplantae	209	False
Q07053	Crithidia fasciculata	Other	128	False
Q9BZB8	Homo sapiens	Metazoa	566	False
P29547	Saccharomyces cerevisiae	Fungi	415	False
Q9NZN3	Homo sapiens	Metazoa	535	False
O13895	Schizosaccharomyces pombe	Fungi	377	False
F4HRV8	Arabidopsis thaliana	Viridiplantae	596	False
D4AEP3	Rattus norvegicus	Metazoa	194	True
P48239	Saccharomyces cerevisiae	Fungi	356	False
P53743	Saccharomyces cerevisiae	Fungi	316	False
Q9BWT1	Homo sapiens	Metazoa	371	False
Q8BP40	Mus musculus	Metazoa	418	False
F4IXE7	Arabidopsis thaliana	Viridiplantae	1189	False
Q9S816	Arabidopsis thaliana	Viridiplantae	521	False
P43266	Euglena gracilis	Other	100	True
O24606	Arabidopsis thaliana	Viridiplantae	628	False
O43044	Schizosaccharomyces pombe	Fungi	1136	False
P40061	Saccharomyces cerevisiae	Fungi	1430	False
P62908	Mus musculus	Metazoa	243	False
Q9P7S6	Schizosaccharomyces pombe	Fungi	274	False
Q8WU10	Homo sapiens	Metazoa	500	False
Q6ZN28	Homo sapiens	Metazoa	852	False
Q5TAX3	Homo sapiens	Metazoa	1644	False
Q9HAW4	Homo sapiens	Metazoa	1339	False
P53941	Saccharomyces cerevisiae	Fungi	290	False
P38852	Saccharomyces cerevisiae	Fungi	340	False
O13351	Schizosaccharomyces pombe	Fungi	117	False
P52566	Homo sapiens	Metazoa	201	False
Q8VIE6	Mus musculus	Metazoa	465	True
P08011	Rattus norvegicus	Metazoa	155	True
P29083	Homo sapiens	Metazoa	439	False
Q06339	Saccharomyces cerevisiae	Fungi	672	False
Q03429	Saccharomyces cerevisiae	Fungi	123	False
Q8NHU3	Homo sapiens	Metazoa	365	True
Q8IPX7	Drosophila melanogaster	Metazoa	232	False
Q9JIR4	Rattus norvegicus	Metazoa	1615	False
Q9Y3C4	Homo sapiens	Metazoa	175	False
Q06162	Saccharomyces cerevisiae	Fungi	153	False
Q9LU68	Arabidopsis thaliana	Viridiplantae	435	False
Q96M32	Homo sapiens	Metazoa	723	False
Q9C5U1	Arabidopsis thaliana	Viridiplantae	1036	True
Q8RWE8	Arabidopsis thaliana	Viridiplantae	442	False
Q5DTW7	Mus musculus	Metazoa	1521	False
Q6PIZ9	Homo sapiens	Metazoa	186	True
Q15650	Homo sapiens	Metazoa	581	False
Q76NL8	Plasmodium falciparum	Other	1193	False
P25621	Saccharomyces cerevisiae	Fungi	512	True
Q15078	Homo sapiens	Metazoa	307	False
P0DI81	Homo sapiens	Metazoa	140	False
C4R5T1	Komagataella phaffii	Fungi	384	False
P32494	Saccharomyces cerevisiae	Fungi	702	False
Q9V9V9	Drosophila melanogaster	Metazoa	200	False
Q86YA3	Homo sapiens	Metazoa	2104	False
Q7SHR9	Neurospora crassa	Fungi	316	False
Q80T69	Mus musculus	Metazoa	795	False
P24311	Homo sapiens	Metazoa	80	True
Q8GTR4	Arabidopsis thaliana	Viridiplantae	965	False
Q8R507	Mus musculus	Metazoa	461	True
Q9Y118	Drosophila melanogaster	Metazoa	431	False
Q6PB66	Mus musculus	Metazoa	1392	False
Q96T49	Homo sapiens	Metazoa	567	False
P55263	Homo sapiens	Metazoa	362	False
E9PVX6	Mus musculus	Metazoa	3177	False
Q86TB3	Homo sapiens	Metazoa	2170	False
Q9SYM5	Arabidopsis thaliana	Viridiplantae	669	False
Q9H9J2	Homo sapiens	Metazoa	332	False
P40007	Saccharomyces cerevisiae	Fungi	231	False
O43083	Schizosaccharomyces pombe	Fungi	338	False
P40033	Saccharomyces cerevisiae	Fungi	138	False
Q96BM1	Homo sapiens	Metazoa	317	False
Q96KS0	Homo sapiens	Metazoa	407	False
P22936	Saccharomyces cerevisiae	Fungi	367	False
Q9JL55	Rattus norvegicus	Metazoa	331	True
Q86WQ0	Homo sapiens	Metazoa	139	False
Q7JXA8	Drosophila melanogaster	Metazoa	418	False
Q9USR9	Schizosaccharomyces pombe	Fungi	643	False
Q9FVQ1	Arabidopsis thaliana	Viridiplantae	557	False
P84148	Candida albicans	Fungi	181	False
Q08421	Saccharomyces cerevisiae	Fungi	412	False
Q8N3V7	Homo sapiens	Metazoa	929	False
Q9ULE6	Homo sapiens	Metazoa	856	False
P02786	Homo sapiens	Metazoa	760	True
O42661	Schizosaccharomyces pombe	Fungi	117	False
H2L006	Caenorhabditis elegans	Metazoa	451	True
Q9JKF1	Mus musculus	Metazoa	1657	False
Q32NR9	Xenopus laevis	Metazoa	708	False
O74518	Schizosaccharomyces pombe	Fungi	336	False
Q6K881	Oryza sativa subsp. japonica	Viridiplantae	565	False
P46778	Homo sapiens	Metazoa	160	False
Q01454	Saccharomyces cerevisiae	Fungi	927	False
G5EGK5	Caenorhabditis elegans	Metazoa	928	False
Q6UXV4	Homo sapiens	Metazoa	268	False
Q810M6	Mus musculus	Metazoa	228	False
O17670	Caenorhabditis elegans	Metazoa	503	False
A9JRD8	Danio rerio	Metazoa	540	False
O14210	Schizosaccharomyces pombe	Fungi	295	False
Q9D067	Mus musculus	Metazoa	708	False
Q12291	Saccharomyces cerevisiae	Fungi	365	False
P09597	Spinacia oleracea	Viridiplantae	134	False
P83267	Hydrolagus colliei	Metazoa	48	False
P12198	Nicotiana tabacum	Viridiplantae	55	False
Q7SG49	Neurospora crassa	Fungi	414	False
P39689	Mus musculus	Metazoa	159	False
O43164	Homo sapiens	Metazoa	708	False
Q9URT8	Schizosaccharomyces pombe	Fungi	111	False
U3H042	Schizosaccharomyces pombe	Fungi	264	False
G5ECD6	Caenorhabditis elegans	Metazoa	1322	True
P53166	Saccharomyces cerevisiae	Fungi	561	False
Q9VEN1	Drosophila melanogaster	Metazoa	2210	False
P22354	Saccharomyces cerevisiae	Fungi	195	False
Q12050	Saccharomyces cerevisiae	Fungi	791	False
Q9FGS4	Arabidopsis thaliana	Viridiplantae	718	False
Q9BXV9	Homo sapiens	Metazoa	100	False
O60287	Homo sapiens	Metazoa	2271	False
Q06629	Saccharomyces cerevisiae	Fungi	674	False
Q9SRP6	Arabidopsis thaliana	Viridiplantae	194	False
Q96NC0	Homo sapiens	Metazoa	199	False
Q05568	Saccharomyces cerevisiae	Fungi	337	True
Q8WUQ7	Homo sapiens	Metazoa	758	False
P47130	Saccharomyces cerevisiae	Fungi	423	False
Q9FLY0	Arabidopsis thaliana	Viridiplantae	325	False
A0A0B5LB55	Penicillium brevicompactum	Fungi	433	False
Q07878	Saccharomyces cerevisiae	Fungi	3144	False
Q7RTY1	Homo sapiens	Metazoa	509	True
A0A1D6IEG9	Zea mays	Viridiplantae	668	False
Q58A45	Homo sapiens	Metazoa	887	False
Q53EK2	Schizosaccharomyces pombe	Fungi	232	False
Q9UJA2	Homo sapiens	Metazoa	301	False
Q04347	Saccharomyces cerevisiae	Fungi	519	False
Q66K74	Homo sapiens	Metazoa	1059	False
Q9SD11	Arabidopsis thaliana	Viridiplantae	103	False
P32493	Saccharomyces cerevisiae	Fungi	518	False
Q6EIG7	Homo sapiens	Metazoa	209	True
Q9BY66	Homo sapiens	Metazoa	1539	False
Q6UPE1	Rattus norvegicus	Metazoa	616	False
P0DOY1	Mus musculus	Metazoa	740	False
P0DP99	Mus musculus	Metazoa	47	True
Q9D742	Mus musculus	Metazoa	170	False
P31228	Bos taurus	Metazoa	341	False
A0A3Q7HWE4	Solanum lycopersicum	Viridiplantae	165	False
Q7TQP3	Mus musculus	Metazoa	335	True
Q9UHB9	Homo sapiens	Metazoa	627	False
Q39134	Arabidopsis thaliana	Viridiplantae	476	True
O15068	Homo sapiens	Metazoa	1137	False
Q91WC0	Mus musculus	Metazoa	594	False
P09132	Homo sapiens	Metazoa	144	False
Q05809	Saccharomyces cerevisiae	Fungi	96	False
P36523	Saccharomyces cerevisiae	Fungi	253	False
Q8BFX3	Mus musculus	Metazoa	815	False
Q9EQW6	Mus musculus	Metazoa	323	False
Q9UU91	Schizosaccharomyces pombe	Fungi	182	True
Q86VD7	Homo sapiens	Metazoa	318	True
Q99728	Homo sapiens	Metazoa	777	False
O60174	Schizosaccharomyces pombe	Fungi	582	False
Q12338	Saccharomyces cerevisiae	Fungi	110	False
P82715	Arabidopsis thaliana	Viridiplantae	297	False
O74895	Schizosaccharomyces pombe	Fungi	201	False
Q05583	Saccharomyces cerevisiae	Fungi	330	False
Q9VC56	Drosophila melanogaster	Metazoa	3912	False
O35658	Mus musculus	Metazoa	278	False
P16383	Homo sapiens	Metazoa	781	False
O89050	Mus musculus	Metazoa	735	False
Q8IX21	Homo sapiens	Metazoa	1173	False
Q8C1E7	Mus musculus	Metazoa	343	False
Q9VKY1	Drosophila melanogaster	Metazoa	268	False
E7FKV8	Oryzias latipes	Metazoa	2742	False
Q05921	Mus musculus	Metazoa	735	False
Q9Y2Z4	Homo sapiens	Metazoa	477	False
P17106	Saccharomyces cerevisiae	Fungi	351	False
P81122	Mus musculus	Metazoa	1321	False
Q80Z37	Mus musculus	Metazoa	1033	False
Q96301	Arabidopsis thaliana	Viridiplantae	914	False
Q9XI46	Arabidopsis thaliana	Viridiplantae	159	True
C0HM98	Homo sapiens	Metazoa	186	False
Q78ZR5	Rattus norvegicus	Metazoa	73	False
P08638	Saccharomyces cerevisiae	Fungi	886	False
Q9Y3D7	Homo sapiens	Metazoa	125	False
P36521	Saccharomyces cerevisiae	Fungi	249	False
P53307	Saccharomyces cerevisiae	Fungi	113	False
Q8RWI0	Arabidopsis thaliana	Viridiplantae	391	True
O94585	Schizosaccharomyces pombe	Fungi	187	False
P70445	Mus musculus	Metazoa	120	False
Q06244	Saccharomyces cerevisiae	Fungi	254	False
Q8TD31	Homo sapiens	Metazoa	782	False
P24919	Neurospora crassa	Fungi	273	False
Q91Z67	Mus musculus	Metazoa	1071	False
P19541	Saccharomyces cerevisiae	Fungi	446	False
Q3UHA3	Mus musculus	Metazoa	2430	False
Q9Y5Q5	Homo sapiens	Metazoa	1042	True
Q9P0P8	Homo sapiens	Metazoa	240	False
Q9VEB4	Drosophila melanogaster	Metazoa	560	False
Q9LXR8	Arabidopsis thaliana	Viridiplantae	318	False
P81449	Saccharomyces cerevisiae	Fungi	96	False
Q9P3U7	Schizosaccharomyces pombe	Fungi	547	True
Q9WTJ6	Mus musculus	Metazoa	475	False
Q07923	Saccharomyces cerevisiae	Fungi	191	False
O94868	Homo sapiens	Metazoa	740	False
Q9SID1	Arabidopsis thaliana	Viridiplantae	238	False
P38873	Saccharomyces cerevisiae	Fungi	1557	False
O75056	Homo sapiens	Metazoa	442	False
Q8LGU6	Arabidopsis thaliana	Viridiplantae	744	False
Q8C886	Mus musculus	Metazoa	610	False
Q9Y2G0	Homo sapiens	Metazoa	817	False
P24349	Caenorhabditis elegans	Metazoa	1201	False
P17677	Homo sapiens	Metazoa	238	False
Q8NEZ4	Homo sapiens	Metazoa	4911	False
Q96L08	Homo sapiens	Metazoa	255	False
A0A0F7G352	Vanilla planifolia	Viridiplantae	356	False
D3ZK93	Rattus norvegicus	Metazoa	322	True
Q91YM2	Mus musculus	Metazoa	1499	False
Q9FVW4	Arabidopsis thaliana	Viridiplantae	482	False
Q8C8N2	Mus musculus	Metazoa	606	False
Q682U6	Arabidopsis thaliana	Viridiplantae	316	False
Q9H5I1	Homo sapiens	Metazoa	410	False
P25208	Homo sapiens	Metazoa	207	False
Q9H3S7	Homo sapiens	Metazoa	1636	False
Q9H0E9	Homo sapiens	Metazoa	1235	False
Q3TY86	Mus musculus	Metazoa	605	False
Q9VDV3	Drosophila melanogaster	Metazoa	546	False
Q80VL1	Mus musculus	Metazoa	560	False
Q9CQY9	Mus musculus	Metazoa	76	True
Q8N635	Homo sapiens	Metazoa	442	False
Q9Y2Q9	Homo sapiens	Metazoa	187	False
Q7Z7F0	Homo sapiens	Metazoa	614	False
Q3SZ86	Bos taurus	Metazoa	205	False
Q924W6	Mus musculus	Metazoa	1344	False
Q09M02	Mus musculus	Metazoa	886	False
Q14CZ7	Homo sapiens	Metazoa	662	False
Q6Q547	Saccharomyces cerevisiae	Fungi	58	False
Q62315	Mus musculus	Metazoa	1234	False
P46669	Saccharomyces cerevisiae	Fungi	326	False
Q03694	Saccharomyces cerevisiae	Fungi	420	False
Q90257	Danio rerio	Metazoa	270	False
Q96AP4	Homo sapiens	Metazoa	578	False
P36159	Saccharomyces cerevisiae	Fungi	838	False
Q9FXD6	Arabidopsis thaliana	Viridiplantae	521	False
Q14CX5	Homo sapiens	Metazoa	517	True
Q9UT72	Schizosaccharomyces pombe	Fungi	205	False
Q9UT91	Schizosaccharomyces pombe	Fungi	211	True
Q9JJ28	Mus musculus	Metazoa	1271	False
Q9LQF2	Arabidopsis thaliana	Viridiplantae	551	False
Q9M5P3	Arabidopsis thaliana	Viridiplantae	354	False
Q96SB3	Homo sapiens	Metazoa	817	False
Q12204	Saccharomyces cerevisiae	Fungi	715	False
Q69ZR9	Mus musculus	Metazoa	1610	False
Q9P0K7	Homo sapiens	Metazoa	980	False
Q01295	Drosophila melanogaster	Metazoa	727	False
O45784	Caenorhabditis elegans	Metazoa	183	False
Q9Y6W5	Homo sapiens	Metazoa	498	False
Q945P1	Arabidopsis thaliana	Viridiplantae	317	False
Q9MBA1	Arabidopsis thaliana	Viridiplantae	536	False
G5EEV2	Caenorhabditis elegans	Metazoa	4062	False
Q9P0N9	Homo sapiens	Metazoa	293	False
C8VP82	Emericella nidulans	Fungi	339	False
P53082	Saccharomyces cerevisiae	Fungi	120	False
P38242	Saccharomyces cerevisiae	Fungi	237	True
Q8LGD5	Arabidopsis thaliana	Viridiplantae	222	False
Q9BRD0	Homo sapiens	Metazoa	619	False
Q945M1	Arabidopsis thaliana	Viridiplantae	117	False
Q9CQP8	Mus musculus	Metazoa	194	False
P54113	Saccharomyces cerevisiae	Fungi	591	False
P53958	Saccharomyces cerevisiae	Fungi	396	False
Q9UTR8	Schizosaccharomyces pombe	Fungi	712	False
Q03246	Saccharomyces cerevisiae	Fungi	237	False
P40458	Saccharomyces cerevisiae	Fungi	529	False
Q8BMP6	Mus musculus	Metazoa	525	False
O14216	Schizosaccharomyces pombe	Fungi	337	False
P35269	Homo sapiens	Metazoa	517	False
P53212	Saccharomyces cerevisiae	Fungi	290	False
P30557	Mus musculus	Metazoa	365	True
Q9NYH9	Homo sapiens	Metazoa	597	False
O80845	Arabidopsis thaliana	Viridiplantae	236	False
P36543	Homo sapiens	Metazoa	226	False
O14079	Schizosaccharomyces pombe	Fungi	624	False
P53155	Saccharomyces cerevisiae	Fungi	381	False
Q6UW78	Homo sapiens	Metazoa	93	True
Q03640	Saccharomyces cerevisiae	Fungi	1545	False
P69851	Saccharomyces cerevisiae	Fungi	72	False
Q8HTL5	Chlamydomonas reinhardtii	Viridiplantae	175	True
Q9URQ5	Saccharomyces cerevisiae	Fungi	78	False
Q9W1F4	Drosophila melanogaster	Metazoa	616	False
Q01892	Homo sapiens	Metazoa	262	False
P52553	Saccharomyces cerevisiae	Fungi	114	False
Q4KL25	Mus musculus	Metazoa	219	True
Q80US8	Mus musculus	Metazoa	206	False
Q04613	Arabidopsis thaliana	Viridiplantae	192	True
O94851	Homo sapiens	Metazoa	1957	False
P38863	Saccharomyces cerevisiae	Fungi	823	False
P11746	Saccharomyces cerevisiae	Fungi	286	False
P32479	Saccharomyces cerevisiae	Fungi	840	False
O74417	Schizosaccharomyces pombe	Fungi	497	False
Q96SQ7	Homo sapiens	Metazoa	321	False
Q23590	Caenorhabditis elegans	Metazoa	1390	False
Q96GC9	Homo sapiens	Metazoa	406	True
Q7RYW8	Neurospora crassa	Fungi	258	False
P63036	Rattus norvegicus	Metazoa	397	False
P32505	Saccharomyces cerevisiae	Fungi	525	False
Q6NPS8	Arabidopsis thaliana	Viridiplantae	623	False
Q8BVN3	Mus musculus	Metazoa	442	True
P34418	Caenorhabditis elegans	Metazoa	943	False
Q4WGE2	Aspergillus fumigatus	Fungi	607	True
Q9FKB5	Arabidopsis thaliana	Viridiplantae	222	False
P47043	Saccharomyces cerevisiae	Fungi	880	False
Q96UP3	Schizosaccharomyces pombe	Fungi	1400	False
Q54XQ2	Dictyostelium discoideum	Other	1125	False
Q6UWS5	Homo sapiens	Metazoa	81	False
P53088	Saccharomyces cerevisiae	Fungi	359	False
Q9P7B7	Schizosaccharomyces pombe	Fungi	295	False
Q96JP5	Homo sapiens	Metazoa	570	False
Q9FPS9	Arabidopsis thaliana	Viridiplantae	924	False
Q9D4J1	Mus musculus	Metazoa	240	False
P03896	Drosophila melanogaster	Metazoa	341	True
Q86YI8	Homo sapiens	Metazoa	300	False
P28648	Rattus norvegicus	Metazoa	238	True
Q9NWT6	Homo sapiens	Metazoa	349	False
P23490	Homo sapiens	Metazoa	312	False
P20659	Drosophila melanogaster	Metazoa	3726	False
Q9NRP7	Homo sapiens	Metazoa	1315	False
P40344	Saccharomyces cerevisiae	Fungi	310	False
Q10154	Schizosaccharomyces pombe	Fungi	240	False
Q8NFZ0	Homo sapiens	Metazoa	1043	False
Q6EMB2	Homo sapiens	Metazoa	1281	False
Q09142	Schizosaccharomyces pombe	Fungi	535	False
F8VPU2	Mus musculus	Metazoa	1048	False
Q96AH0	Homo sapiens	Metazoa	204	False
O74771	Schizosaccharomyces pombe	Fungi	374	False
Q96K80	Homo sapiens	Metazoa	434	False
Q8BGW0	Mus musculus	Metazoa	636	False
P32337	Saccharomyces cerevisiae	Fungi	1089	False
Q8BLG0	Mus musculus	Metazoa	1010	False
Q9P275	Homo sapiens	Metazoa	1123	False
Q9UU79	Schizosaccharomyces pombe	Fungi	260	False
Q20024	Caenorhabditis elegans	Metazoa	306	False
Q8CI15	Mus musculus	Metazoa	382	False
Q6ZVD7	Homo sapiens	Metazoa	989	False
B1AZ99	Mus musculus	Metazoa	396	False
A2XFC1	Oryza sativa subsp. indica	Viridiplantae	442	False
Q9UKV3	Homo sapiens	Metazoa	1341	False
Q9I9B9	Torpedo marmorata	Metazoa	646	True
Q5SS91	Mus musculus	Metazoa	320	True
Q60700	Mus musculus	Metazoa	888	False
Q3E7A8	Saccharomyces cerevisiae	Fungi	72	False
Q96B23	Homo sapiens	Metazoa	404	False
Q8TAT5	Homo sapiens	Metazoa	605	False
Q99569	Homo sapiens	Metazoa	1192	False
O60381	Homo sapiens	Metazoa	514	False
P53062	Saccharomyces cerevisiae	Fungi	197	True
P40565	Saccharomyces cerevisiae	Fungi	148	False
A0A075TXZ8	Penicillium expansum	Fungi	799	False
P0C5Y7	Schizosaccharomyces pombe	Fungi	102	False
O95163	Homo sapiens	Metazoa	1332	False
Q96VH5	Saccharomyces cerevisiae	Fungi	97	True
P0DJI6	Mus musculus	Metazoa	106	False
Q95ZL9	Caenorhabditis elegans	Metazoa	152	False
Q99MY0	Mus musculus	Metazoa	378	False
Q7SHB2	Neurospora crassa	Fungi	348	False
P30429	Caenorhabditis elegans	Metazoa	549	False
P25655	Saccharomyces cerevisiae	Fungi	2108	False
P25637	Saccharomyces cerevisiae	Fungi	258	False
Q9Y6X4	Homo sapiens	Metazoa	670	False
Q8SUF9	Encephalitozoon cuniculi	Fungi	553	True
O13988	Schizosaccharomyces pombe	Fungi	555	False
Q8GYH7	Arabidopsis thaliana	Viridiplantae	249	False
P26358	Homo sapiens	Metazoa	1616	False
Q6AVI1	Oryza sativa subsp. japonica	Viridiplantae	227	False
P28320	Saccharomyces cerevisiae	Fungi	278	False
Q39057	Arabidopsis thaliana	Viridiplantae	373	False
Q920Q3	Rattus norvegicus	Metazoa	154	False
Q99K82	Mus musculus	Metazoa	555	False
F4I1T7	Arabidopsis thaliana	Viridiplantae	1819	False
Q9LYB9	Arabidopsis thaliana	Viridiplantae	186	False
Q17TI5	Arabidopsis thaliana	Viridiplantae	344	False
Q9P7N0	Schizosaccharomyces pombe	Fungi	392	False
P53869	Saccharomyces cerevisiae	Fungi	86	False
P25582	Saccharomyces cerevisiae	Fungi	841	False
Q8W4F1	Arabidopsis thaliana	Viridiplantae	284	False
Q56VL3	Homo sapiens	Metazoa	154	False
Q8RWL4	Arabidopsis thaliana	Viridiplantae	349	False
Q9C882	Arabidopsis thaliana	Viridiplantae	587	False
Q10272	Schizosaccharomyces pombe	Fungi	446	False
O60934	Homo sapiens	Metazoa	754	False
Q14978	Homo sapiens	Metazoa	699	False
Q5T6F0	Homo sapiens	Metazoa	453	False
Q8BGD7	Mus musculus	Metazoa	802	False
P32899	Saccharomyces cerevisiae	Fungi	183	False
P38222	Saccharomyces cerevisiae	Fungi	552	False
Q8H157	Arabidopsis thaliana	Viridiplantae	585	True
Q9UTQ4	Schizosaccharomyces pombe	Fungi	244	False
Q2T9J0	Homo sapiens	Metazoa	566	False
Q99288	Saccharomyces cerevisiae	Fungi	334	False
Q23238	Caenorhabditis elegans	Metazoa	893	False
O42648	Schizosaccharomyces pombe	Fungi	341	False
O35387	Mus musculus	Metazoa	280	False
P40099	Saccharomyces cerevisiae	Fungi	211	False
Q9LEV3	Arabidopsis thaliana	Viridiplantae	206	False
S0DPL8	Gibberella fujikuroi	Fungi	389	False
Q6P8X9	Mus musculus	Metazoa	189	False
Q08357	Homo sapiens	Metazoa	652	True
Q921E6	Mus musculus	Metazoa	441	False
Q9SMS0	Arabidopsis thaliana	Viridiplantae	249	False
Q86WX3	Homo sapiens	Metazoa	136	False
P17442	Saccharomyces cerevisiae	Fungi	1178	False
P36136	Saccharomyces cerevisiae	Fungi	271	False
O13848	Schizosaccharomyces pombe	Fungi	284	False
Q9C086	Homo sapiens	Metazoa	356	False
P11115	Neurospora crassa	Fungi	270	False
P41958	Caenorhabditis elegans	Metazoa	280	False
J9VT33	Cryptococcus neoformans var. grubii serotype A	Fungi	1048	False
Q9AUE0	Arabidopsis thaliana	Viridiplantae	1950	False
P51163	Mus musculus	Metazoa	265	False
P53720	Saccharomyces cerevisiae	Fungi	384	False
Q3TYA6	Mus musculus	Metazoa	858	False
Q9BRQ5	Homo sapiens	Metazoa	295	True
Q6Q4H1	Hydra vulgaris	Metazoa	385	False
P53051	Saccharomyces cerevisiae	Fungi	589	False
Q9XIM0	Arabidopsis thaliana	Viridiplantae	203	False
P32500	Saccharomyces cerevisiae	Fungi	655	True
Q9URY2	Schizosaccharomyces pombe	Fungi	474	False
Q05937	Saccharomyces cerevisiae	Fungi	343	False
Q12308	Saccharomyces cerevisiae	Fungi	588	False
Q8NFH3	Homo sapiens	Metazoa	380	False
Q9NZJ0	Homo sapiens	Metazoa	730	False
P38755	Saccharomyces cerevisiae	Fungi	437	False
Q9Y4E5	Homo sapiens	Metazoa	1061	False
Q05905	Saccharomyces cerevisiae	Fungi	244	False
O13998	Schizosaccharomyces pombe	Fungi	392	False
Q04116	Saccharomyces cerevisiae	Fungi	353	False
P82244	Spinacia oleracea	Viridiplantae	152	False
O54931	Mus musculus	Metazoa	1089	False
Q8CJ00	Mus musculus	Metazoa	444	False
Q9ZT96	Arabidopsis thaliana	Viridiplantae	541	False
Q9GZR7	Homo sapiens	Metazoa	859	False
P53148	Saccharomyces cerevisiae	Fungi	917	False
P40342	Saccharomyces cerevisiae	Fungi	146	False
Q91VJ2	Mus musculus	Metazoa	260	False
Q96JJ3	Homo sapiens	Metazoa	720	False
Q14019	Homo sapiens	Metazoa	142	False
Q9LFP6	Arabidopsis thaliana	Viridiplantae	367	True
P17152	Homo sapiens	Metazoa	192	True
P20134	Saccharomyces cerevisiae	Fungi	766	False
Q10432	Schizosaccharomyces pombe	Fungi	735	False
P53187	Saccharomyces cerevisiae	Fungi	214	False
Q9JHR9	Mus musculus	Metazoa	270	False
Q06211	Saccharomyces cerevisiae	Fungi	1407	False
Q9V6L9	Drosophila melanogaster	Metazoa	255	False
