UniprotAccession	Organism	Kingdom	ProteinLength	SPPosition	label	TMHelixFirst90	Fold	Set
Q9NVA1	Homo sapiens	Metazoa	299		negative	False	aa	train
Q9P0S2	Homo sapiens	Metazoa	106		negative	True	ab	train
Q94AT3	Arabidopsis thaliana	Viridiplantae	378		negative	False	ad	bench
Q12887	Homo sapiens	Metazoa	443		negative	False	aa	train
P40305	Homo sapiens	Metazoa	122		negative	True	ae	train
O75131	Homo sapiens	Metazoa	537		negative	False	ae	train
Q9NPL8	Homo sapiens	Metazoa	285		negative	True	ad	train
Q93008	Homo sapiens	Metazoa	2554		negative	False	ae	train
A9UHW6	Homo sapiens	Metazoa	222		negative	False	ad	bench
O14503	Homo sapiens	Metazoa	412		negative	False	ab	train
O14519	Homo sapiens	Metazoa	115		negative	False	ae	bench
O43719	Homo sapiens	Metazoa	755		negative	False	ae	bench
O43913	Homo sapiens	Metazoa	435		negative	False	ad	train
O60941	Homo sapiens	Metazoa	627		negative	False	ab	bench
O76075	Homo sapiens	Metazoa	338		negative	False	ab	bench
O94993	Homo sapiens	Metazoa	753		negative	False	ac	train
O95905	Homo sapiens	Metazoa	644		negative	False	ab	train
P04080	Homo sapiens	Metazoa	98		negative	False	ad	train
P13489	Homo sapiens	Metazoa	461		negative	False	ab	train
P16989	Homo sapiens	Metazoa	372		negative	False	ac	train
P31949	Homo sapiens	Metazoa	105		negative	False	ad	train
P49842	Homo sapiens	Metazoa	254		negative	False	ad	train
P53804	Homo sapiens	Metazoa	2025		negative	False	ad	train
P54845	Homo sapiens	Metazoa	237		negative	False	ae	train
P55263	Homo sapiens	Metazoa	362		negative	False	ae	bench
P62952	Homo sapiens	Metazoa	87		negative	True	aa	train
P68036	Homo sapiens	Metazoa	154		negative	False	aa	train
Q00341	Homo sapiens	Metazoa	1268		negative	False	ad	train
Q01892	Homo sapiens	Metazoa	262		negative	False	ae	train
Q0PNE2	Homo sapiens	Metazoa	266		negative	False	ab	train
Q0VD86	Homo sapiens	Metazoa	236		negative	False	ae	train
Q12830	Homo sapiens	Metazoa	3046		negative	False	aa	train
Q13309	Homo sapiens	Metazoa	424		negative	False	ac	train
Q14140	Homo sapiens	Metazoa	314		negative	False	ab	train
Q15326	Homo sapiens	Metazoa	602		negative	False	ad	train
Q16629	Homo sapiens	Metazoa	238		negative	False	ad	train
Q56P42	Homo sapiens	Metazoa	97		negative	False	ad	train
Q5H9R7	Homo sapiens	Metazoa	873		negative	False	ae	train
Q5TCS8	Homo sapiens	Metazoa	1911		negative	False	ae	train
Q68E01	Homo sapiens	Metazoa	1043		negative	False	ab	train
Q6DN90	Homo sapiens	Metazoa	963		negative	False	ae	train
Q6IBW4	Homo sapiens	Metazoa	605		negative	False	ab	train
Q6P2D8	Homo sapiens	Metazoa	792		negative	False	aa	bench
Q6PGP7	Homo sapiens	Metazoa	1564		negative	False	aa	train
Q6PJG6	Homo sapiens	Metazoa	821		negative	False	ab	bench
Q6ZRQ5	Homo sapiens	Metazoa	1243		negative	False	aa	bench
Q86W50	Homo sapiens	Metazoa	562		negative	False	ac	train
Q8IYR2	Homo sapiens	Metazoa	804		negative	False	ab	bench
Q8NAG6	Homo sapiens	Metazoa	615		negative	False	aa	train
Q8NB78	Homo sapiens	Metazoa	822		negative	False	ae	train
Q8NEZ5	Homo sapiens	Metazoa	403		negative	False	ab	bench
Q8TCY9	Homo sapiens	Metazoa	931		negative	False	ae	train
Q8TE02	Homo sapiens	Metazoa	300		negative	False	aa	train
Q8TF63	Homo sapiens	Metazoa	244		negative	False	ab	train
Q8WUF5	Homo sapiens	Metazoa	828		negative	False	ae	train
Q92945	Homo sapiens	Metazoa	711		negative	False	aa	train
Q96B26	Homo sapiens	Metazoa	276		negative	False	ac	train
Q96DN6	Homo sapiens	Metazoa	1003		negative	False	ab	bench
Q96LD4	Homo sapiens	Metazoa	638		negative	False	ab	train
Q96LI6	Homo sapiens	Metazoa	401		negative	False	aa	train
Q96MB7	Homo sapiens	Metazoa	349		negative	False	ad	bench
Q99615	Homo sapiens	Metazoa	494		negative	False	ae	train
Q99836	Homo sapiens	Metazoa	296		negative	False	aa	train
Q9BT23	Homo sapiens	Metazoa	127		negative	False	ab	train
Q9BVN2	Homo sapiens	Metazoa	902		negative	False	ac	train
Q9BWT1	Homo sapiens	Metazoa	371		negative	False	aa	bench
Q9BWU0	Homo sapiens	Metazoa	742		negative	False	ad	train
Q9BZZ5	Homo sapiens	Metazoa	524		negative	False	aa	train
Q9GZS3	Homo sapiens	Metazoa	305		negative	False	ae	train
Q9GZZ1	Homo sapiens	Metazoa	169		negative	False	ad	train
Q9H063	Homo sapiens	Metazoa	256		negative	False	ad	train
Q9H0A8	Homo sapiens	Metazoa	199		negative	False	ae	bench
Q9H1E3	Homo sapiens	Metazoa	243		negative	False	ab	train
Q9H3K6	Homo sapiens	Metazoa	86		negative	False	ab	train
Q9HAV4	Homo sapiens	Metazoa	1204		negative	False	ac	train
Q9HB71	Homo sapiens	Metazoa	228		negative	False	ac	train
Q9NR90	Homo sapiens	Metazoa	486		negative	False	ad	bench
Q9NS73	Homo sapiens	Metazoa	344		negative	False	ac	train
Q9NUK0	Homo sapiens	Metazoa	354		negative	False	ab	bench
Q9NWU2	Homo sapiens	Metazoa	228		negative	False	ae	train
Q9NWV8	Homo sapiens	Metazoa	329		negative	False	ae	bench
Q9NX08	Homo sapiens	Metazoa	183		negative	False	ae	train
Q9NX55	Homo sapiens	Metazoa	121		negative	False	ad	train
Q9NYG5	Homo sapiens	Metazoa	84		negative	False	ad	train
Q9P0R6	Homo sapiens	Metazoa	139		negative	False	ad	train
Q9P127	Homo sapiens	Metazoa	313		negative	False	aa	bench
Q9UH92	Homo sapiens	Metazoa	298		negative	False	ac	bench
Q9UIA9	Homo sapiens	Metazoa	1087		negative	False	ad	train
Q9UJQ4	Homo sapiens	Metazoa	1053		negative	False	ac	bench
Q9UK73	Homo sapiens	Metazoa	627		negative	False	ab	train
Q9ULR3	Homo sapiens	Metazoa	514		negative	False	ac	train
Q9UNE7	Homo sapiens	Metazoa	303		negative	False	ad	train
Q9UNS2	Homo sapiens	Metazoa	423		negative	False	ad	train
Q9UPR3	Homo sapiens	Metazoa	1016		negative	False	ae	train
Q9Y252	Homo sapiens	Metazoa	685		negative	False	ac	train
Q9Y2B4	Homo sapiens	Metazoa	290		negative	False	aa	bench
Q9Y2M2	Homo sapiens	Metazoa	375		negative	False	ac	train
Q9Y3V2	Homo sapiens	Metazoa	267		negative	False	ad	bench
Q9Y508	Homo sapiens	Metazoa	228		negative	False	ad	train
Q9Y6K9	Homo sapiens	Metazoa	419		negative	False	ac	train
P04637	Homo sapiens	Metazoa	393		negative	False	ad	train
Q9NVT9	Homo sapiens	Metazoa	282		negative	False	ae	train
H0YL14	Homo sapiens	Metazoa	139		negative	True	ae	train
O15287	Homo sapiens	Metazoa	622		negative	False	aa	train
O75832	Homo sapiens	Metazoa	226		negative	False	aa	train
O94761	Homo sapiens	Metazoa	1208		negative	False	ad	train
O95163	Homo sapiens	Metazoa	1332		negative	False	ae	train
O95273	Homo sapiens	Metazoa	360		negative	False	aa	train
P40692	Homo sapiens	Metazoa	756		negative	False	ac	train
P43246	Homo sapiens	Metazoa	934		negative	False	ae	train
P48595	Homo sapiens	Metazoa	397		negative	False	ad	train
P51610	Homo sapiens	Metazoa	2035		negative	False	ab	train
Q03468	Homo sapiens	Metazoa	1493		negative	False	ab	train
Q14676	Homo sapiens	Metazoa	2089		negative	False	ac	train
Q147X3	Homo sapiens	Metazoa	362		negative	False	aa	train
Q15466	Homo sapiens	Metazoa	257		negative	False	ae	train
Q15796	Homo sapiens	Metazoa	467		negative	False	aa	train
Q16186	Homo sapiens	Metazoa	407		negative	False	aa	train
Q3KRA9	Homo sapiens	Metazoa	238		negative	False	ab	train
Q53H47	Homo sapiens	Metazoa	684		negative	False	ae	train
Q56A73	Homo sapiens	Metazoa	249		negative	False	aa	bench
Q56NI9	Homo sapiens	Metazoa	601		negative	False	aa	train
Q5PRF9	Homo sapiens	Metazoa	694		negative	False	aa	train
Q5TAQ9	Homo sapiens	Metazoa	597		negative	False	ab	train
Q6PRD7	Homo sapiens	Metazoa	247		negative	False	ac	train
Q86V97	Homo sapiens	Metazoa	674		negative	False	ac	train
Q8IUR7	Homo sapiens	Metazoa	673		negative	False	ab	train
Q8IWL8	Homo sapiens	Metazoa	128		negative	False	ae	train
Q8IY22	Homo sapiens	Metazoa	773		negative	False	ad	train
Q8N1G0	Homo sapiens	Metazoa	1237		negative	False	ab	bench
Q8N684	Homo sapiens	Metazoa	471		negative	False	ae	train
Q8NBA8	Homo sapiens	Metazoa	298		negative	False	ac	bench
Q8TDG4	Homo sapiens	Metazoa	1101		negative	False	ae	bench
Q92466	Homo sapiens	Metazoa	427		negative	False	ae	train
Q96AP4	Homo sapiens	Metazoa	578		negative	False	ae	train
Q96EB1	Homo sapiens	Metazoa	424		negative	False	ae	train
Q96EV2	Homo sapiens	Metazoa	1170		negative	False	aa	train
Q96HR8	Homo sapiens	Metazoa	494		negative	False	aa	train
Q96IU4	Homo sapiens	Metazoa	210		negative	False	ac	train
Q96P70	Homo sapiens	Metazoa	1041		negative	False	ad	train
Q96QC0	Homo sapiens	Metazoa	940		negative	False	aa	train
Q96RN5	Homo sapiens	Metazoa	788		negative	False	ad	bench
Q96RS6	Homo sapiens	Metazoa	583		negative	False	aa	bench
Q96S44	Homo sapiens	Metazoa	253		negative	False	aa	train
Q96SW2	Homo sapiens	Metazoa	442		negative	False	ae	train
Q9BXJ9	Homo sapiens	Metazoa	866		negative	False	ad	train
Q9H1J1	Homo sapiens	Metazoa	476		negative	False	ac	train
Q9H4B6	Homo sapiens	Metazoa	383		negative	False	ae	train
Q9H6Z4	Homo sapiens	Metazoa	567		negative	False	ab	train
Q9H8W5	Homo sapiens	Metazoa	580		negative	False	ad	train
Q9HB75	Homo sapiens	Metazoa	910		negative	False	aa	train
Q9NWY4	Homo sapiens	Metazoa	346		negative	False	ad	train
Q9NZN9	Homo sapiens	Metazoa	384		negative	False	aa	bench
Q9P1Z0	Homo sapiens	Metazoa	1013		negative	False	ad	train
Q9UBD5	Homo sapiens	Metazoa	711		negative	False	ae	train
Q9Y2I8	Homo sapiens	Metazoa	494		negative	False	ad	train
Q9Y314	Homo sapiens	Metazoa	301		negative	False	aa	train
Q9Y3F4	Homo sapiens	Metazoa	350		negative	False	ae	train
Q9BUK6	Homo sapiens	Metazoa	570		negative	False	ac	bench
P07195	Homo sapiens	Metazoa	334		negative	False	aa	train
O43396	Homo sapiens	Metazoa	289		negative	False	ad	train
O60674	Homo sapiens	Metazoa	1132		negative	False	aa	bench
O75179	Homo sapiens	Metazoa	2603		negative	False	ae	bench
O94916	Homo sapiens	Metazoa	1531		negative	False	aa	train
O95376	Homo sapiens	Metazoa	493		negative	False	ad	train
P02489	Homo sapiens	Metazoa	173		negative	False	ae	bench
P0C5Y9	Homo sapiens	Metazoa	115		negative	False	ab	train
P14618	Homo sapiens	Metazoa	531		negative	False	ae	train
P18887	Homo sapiens	Metazoa	633		negative	False	ad	bench
P28074	Homo sapiens	Metazoa	263		negative	False	ac	train
P29144	Homo sapiens	Metazoa	1249		negative	False	ac	bench
P35869	Homo sapiens	Metazoa	848		negative	False	ac	train
P55039	Homo sapiens	Metazoa	364		negative	False	ac	bench
P60002	Homo sapiens	Metazoa	83		negative	False	ab	train
P60323	Homo sapiens	Metazoa	173		negative	False	ac	train
P62861	Homo sapiens	Metazoa	133		negative	False	ae	bench
Q01804	Homo sapiens	Metazoa	1114		negative	False	aa	train
Q14674	Homo sapiens	Metazoa	2120		negative	False	ae	bench
Q15649	Homo sapiens	Metazoa	155		negative	False	ad	train
Q3YEC7	Homo sapiens	Metazoa	729		negative	False	aa	bench
Q4AE62	Homo sapiens	Metazoa	458		negative	False	aa	train
Q52LJ0	Homo sapiens	Metazoa	433		negative	False	aa	bench
Q59H18	Homo sapiens	Metazoa	835		negative	False	ab	train
Q5HYK7	Homo sapiens	Metazoa	790		negative	False	ac	train
Q5VTB9	Homo sapiens	Metazoa	566		negative	False	ab	train
Q5VZV1	Homo sapiens	Metazoa	264		negative	False	ad	train
Q6I9Y2	Homo sapiens	Metazoa	204		negative	False	ab	train
Q6IQ49	Homo sapiens	Metazoa	451		negative	False	ac	train
Q6PCT2	Homo sapiens	Metazoa	694		negative	False	ac	train
Q6PI77	Homo sapiens	Metazoa	547		negative	False	aa	train
Q6PID8	Homo sapiens	Metazoa	442		negative	False	ac	train
Q7Z4G1	Homo sapiens	Metazoa	85		negative	False	aa	train
Q7Z7F0	Homo sapiens	Metazoa	614		negative	False	aa	bench
Q86V20	Homo sapiens	Metazoa	835		negative	False	ad	train
Q86XK2	Homo sapiens	Metazoa	927		negative	False	ab	train
Q8IUH3	Homo sapiens	Metazoa	476		negative	False	ae	train
Q8IWY9	Homo sapiens	Metazoa	1227		negative	False	ae	bench
Q8N108	Homo sapiens	Metazoa	512		negative	False	aa	train
Q8N140	Homo sapiens	Metazoa	333		negative	False	ac	bench
Q8N196	Homo sapiens	Metazoa	739		negative	False	ab	train
Q8N371	Homo sapiens	Metazoa	416		negative	False	ab	train
Q8NI27	Homo sapiens	Metazoa	1593		negative	False	ab	train
Q8TBZ3	Homo sapiens	Metazoa	569		negative	False	ae	bench
Q8TD19	Homo sapiens	Metazoa	979		negative	False	ac	train
Q8WXU2	Homo sapiens	Metazoa	420		negative	False	ad	train
Q92540	Homo sapiens	Metazoa	1137		negative	False	ab	train
Q92750	Homo sapiens	Metazoa	862		negative	False	ae	bench
Q969P5	Homo sapiens	Metazoa	355		negative	False	ab	train
Q96HW7	Homo sapiens	Metazoa	963		negative	False	ac	train
Q96IZ0	Homo sapiens	Metazoa	340		negative	False	aa	train
Q96LI5	Homo sapiens	Metazoa	555		negative	False	ae	train
Q96Q15	Homo sapiens	Metazoa	3661		negative	False	ae	train
Q99933	Homo sapiens	Metazoa	345		negative	False	ab	train
Q9BRA0	Homo sapiens	Metazoa	125		negative	False	ae	bench
Q9BSD3	Homo sapiens	Metazoa	238		negative	False	ac	train
Q9BYB4	Homo sapiens	Metazoa	327		negative	False	aa	train
Q9C0C9	Homo sapiens	Metazoa	1292		negative	False	ae	train
Q9C0E2	Homo sapiens	Metazoa	1151		negative	False	ac	train
Q9GZQ3	Homo sapiens	Metazoa	224		negative	False	ac	train
Q9H0W9	Homo sapiens	Metazoa	315		negative	False	ae	train
Q9H6K1	Homo sapiens	Metazoa	298		negative	False	ad	train
Q9H7E2	Homo sapiens	Metazoa	651		negative	False	aa	train
Q9H832	Homo sapiens	Metazoa	354		negative	False	ac	train
Q9H9P5	Homo sapiens	Metazoa	680		negative	False	ae	bench
Q9H9T3	Homo sapiens	Metazoa	547		negative	False	ac	train
Q9HCN4	Homo sapiens	Metazoa	374		negative	False	ac	bench
Q9HD15	Homo sapiens	Metazoa	224		negative	False	ab	bench
Q9NPF4	Homo sapiens	Metazoa	335		negative	False	ae	train
Q9NR83	Homo sapiens	Metazoa	387		negative	False	aa	train
Q9NX04	Homo sapiens	Metazoa	203		negative	False	ab	bench
Q9NXR7	Homo sapiens	Metazoa	383		negative	False	ae	train
Q9P267	Homo sapiens	Metazoa	1494		negative	False	aa	train
Q9UBI1	Homo sapiens	Metazoa	195		negative	False	ae	train
Q9UGI0	Homo sapiens	Metazoa	708		negative	False	ae	bench
Q9UI26	Homo sapiens	Metazoa	975		negative	False	ae	train
Q9UJY1	Homo sapiens	Metazoa	196		negative	False	ab	train
Q9UK76	Homo sapiens	Metazoa	154		negative	False	ad	train
Q9UMW8	Homo sapiens	Metazoa	372		negative	False	aa	train
Q9Y2V0	Homo sapiens	Metazoa	281		negative	False	ad	train
Q9Y3Z3	Homo sapiens	Metazoa	626		negative	False	aa	train
Q9Y5U2	Homo sapiens	Metazoa	329		negative	False	ac	train
Q9Y6K5	Homo sapiens	Metazoa	1087		negative	False	ac	train
Q9Y6P5	Homo sapiens	Metazoa	492		negative	False	ae	train
Q86VP1	Homo sapiens	Metazoa	789		negative	False	ac	train
Q96IL0	Homo sapiens	Metazoa	206		negative	False	ac	train
O15304	Homo sapiens	Metazoa	175		negative	False	ac	bench
O43765	Homo sapiens	Metazoa	313		negative	False	ae	train
O43918	Homo sapiens	Metazoa	545		negative	False	ab	train
O75943	Homo sapiens	Metazoa	681		negative	False	ac	bench
O76054	Homo sapiens	Metazoa	403		negative	False	ad	train
O95071	Homo sapiens	Metazoa	2799		negative	False	aa	train
O95817	Homo sapiens	Metazoa	575		negative	False	ac	bench
O95989	Homo sapiens	Metazoa	172		negative	False	ac	train
O95997	Homo sapiens	Metazoa	202		negative	False	aa	train
P04271	Homo sapiens	Metazoa	92		negative	False	ac	train
P29350	Homo sapiens	Metazoa	595		negative	False	aa	train
P30085	Homo sapiens	Metazoa	196		negative	False	ac	train
P42166	Homo sapiens	Metazoa	694		negative	False	ad	train
P42338	Homo sapiens	Metazoa	1070		negative	False	ae	train
P42771	Homo sapiens	Metazoa	156		negative	False	ac	train
P48634	Homo sapiens	Metazoa	2157		negative	False	ab	train
P49773	Homo sapiens	Metazoa	126		negative	False	ac	train
P55212	Homo sapiens	Metazoa	293		negative	False	aa	bench
P57081	Homo sapiens	Metazoa	412		negative	False	ad	train
Q00597	Homo sapiens	Metazoa	558		negative	False	ab	bench
Q14166	Homo sapiens	Metazoa	644		negative	False	ae	bench
Q15025	Homo sapiens	Metazoa	636		negative	False	ad	bench
Q15365	Homo sapiens	Metazoa	356		negative	False	ab	bench
Q15477	Homo sapiens	Metazoa	1246		negative	False	ae	train
Q53F19	Homo sapiens	Metazoa	620		negative	False	ad	train
Q5JPI9	Homo sapiens	Metazoa	236		negative	False	aa	train
Q5SSJ5	Homo sapiens	Metazoa	553		negative	False	ac	train
Q5TGY3	Homo sapiens	Metazoa	1603		negative	False	ac	bench
Q5VY09	Homo sapiens	Metazoa	327		negative	False	aa	train
Q6GQQ9	Homo sapiens	Metazoa	843		negative	False	ae	train
Q6ZSB9	Homo sapiens	Metazoa	765		negative	False	ad	train
Q7Z7C8	Homo sapiens	Metazoa	310		negative	False	ac	train
Q86VP6	Homo sapiens	Metazoa	1230		negative	False	aa	train
Q86X51	Homo sapiens	Metazoa	503		negative	False	ab	train
Q86XA0	Homo sapiens	Metazoa	190		negative	False	aa	train
Q86Y01	Homo sapiens	Metazoa	620		negative	False	ac	bench
Q8IXW5	Homo sapiens	Metazoa	612		negative	False	ab	train
Q8N3J3	Homo sapiens	Metazoa	647		negative	False	aa	bench
Q8TEX9	Homo sapiens	Metazoa	1081		negative	False	ad	train
Q92785	Homo sapiens	Metazoa	391		negative	False	ac	bench
Q969T9	Homo sapiens	Metazoa	261		negative	False	ad	train
Q96BY6	Homo sapiens	Metazoa	2186		negative	False	ae	train
Q96E09	Homo sapiens	Metazoa	287		negative	False	ab	train
Q96EL1	Homo sapiens	Metazoa	287		negative	False	aa	bench
Q96I76	Homo sapiens	Metazoa	525		negative	False	aa	train
Q96JZ2	Homo sapiens	Metazoa	352		negative	False	ae	bench
Q96QU8	Homo sapiens	Metazoa	1125		negative	False	ac	train
Q99627	Homo sapiens	Metazoa	209		negative	False	ab	train
Q9BZC1	Homo sapiens	Metazoa	486		negative	False	ab	train
Q9GZR7	Homo sapiens	Metazoa	859		negative	False	ab	train
Q9H008	Homo sapiens	Metazoa	270		negative	False	ad	train
Q9H3M7	Homo sapiens	Metazoa	391		negative	False	ad	train
Q9H467	Homo sapiens	Metazoa	287		negative	False	ad	train
Q9H7D7	Homo sapiens	Metazoa	661		negative	False	ae	train
Q9H8E8	Homo sapiens	Metazoa	782		negative	False	ab	train
Q9HAZ2	Homo sapiens	Metazoa	1276		negative	False	ad	train
Q9NP77	Homo sapiens	Metazoa	194		negative	False	aa	bench
Q9NYL2	Homo sapiens	Metazoa	800		negative	False	ae	train
Q9UBQ5	Homo sapiens	Metazoa	218		negative	False	ae	train
Q9UL03	Homo sapiens	Metazoa	887		negative	False	ac	train
Q9Y6G5	Homo sapiens	Metazoa	202		negative	False	ab	train
Q8WWV3	Homo sapiens	Metazoa	396		negative	False	ac	train
Q02297	Homo sapiens	Metazoa	640		negative	False	ae	train
Q8N6L0	Homo sapiens	Metazoa	562		negative	False	ab	bench
Q99675	Homo sapiens	Metazoa	332		negative	False	aa	train
Q9BY12	Homo sapiens	Metazoa	1400		negative	False	ad	train
A6NGQ2	Homo sapiens	Metazoa	149		negative	False	ae	bench
A8K830	Homo sapiens	Metazoa	251		negative	False	aa	bench
O00625	Homo sapiens	Metazoa	290		negative	False	ad	train
O15360	Homo sapiens	Metazoa	1455		negative	False	ab	train
O43299	Homo sapiens	Metazoa	807		negative	False	aa	train
O43592	Homo sapiens	Metazoa	962		negative	False	ab	train
O75496	Homo sapiens	Metazoa	209		negative	False	ae	train
O75689	Homo sapiens	Metazoa	374		negative	False	aa	train
O94829	Homo sapiens	Metazoa	963		negative	False	aa	train
O95696	Homo sapiens	Metazoa	1058		negative	False	ad	bench
O95704	Homo sapiens	Metazoa	486		negative	False	ac	train
P04553	Homo sapiens	Metazoa	51		negative	False	aa	train
P06746	Homo sapiens	Metazoa	335		negative	False	ac	train
P20290	Homo sapiens	Metazoa	206		negative	False	ad	bench
P28070	Homo sapiens	Metazoa	264		negative	False	ac	train
P28715	Homo sapiens	Metazoa	1186		negative	False	ac	train
P30793	Homo sapiens	Metazoa	250		negative	False	aa	bench
P40205	Homo sapiens	Metazoa	109		negative	False	ae	bench
P43686	Homo sapiens	Metazoa	418		negative	False	aa	train
P46736	Homo sapiens	Metazoa	316		negative	False	ab	train
P47929	Homo sapiens	Metazoa	136		negative	False	aa	train
P62750	Homo sapiens	Metazoa	156		negative	False	ab	train
P86452	Homo sapiens	Metazoa	979		negative	False	aa	train
Q00653	Homo sapiens	Metazoa	900		negative	False	ac	bench
Q12774	Homo sapiens	Metazoa	1597		negative	False	aa	train
Q14657	Homo sapiens	Metazoa	143		negative	False	ae	bench
Q15257	Homo sapiens	Metazoa	358		negative	False	aa	train
Q15678	Homo sapiens	Metazoa	1187		negative	False	ae	train
Q2VWA4	Homo sapiens	Metazoa	1015		negative	False	ac	train
Q3KP66	Homo sapiens	Metazoa	663		negative	False	ad	train
Q56P03	Homo sapiens	Metazoa	285		negative	False	ac	train
Q5T7W0	Homo sapiens	Metazoa	954		negative	False	ac	train
Q5U5Q3	Homo sapiens	Metazoa	659		negative	False	ae	train
Q6P9B9	Homo sapiens	Metazoa	1019		negative	False	ad	train
Q6PH85	Homo sapiens	Metazoa	259		negative	False	ad	train
Q70CQ1	Homo sapiens	Metazoa	688		negative	False	ab	bench
Q75QN2	Homo sapiens	Metazoa	995		negative	False	ae	bench
Q86Y26	Homo sapiens	Metazoa	1132		negative	False	ae	bench
Q8IYT2	Homo sapiens	Metazoa	770		negative	False	ae	train
Q8N2I9	Homo sapiens	Metazoa	435		negative	False	aa	bench
Q8NE35	Homo sapiens	Metazoa	698		negative	False	ae	train
Q8NFZ0	Homo sapiens	Metazoa	1043		negative	False	aa	train
Q8TD31	Homo sapiens	Metazoa	782		negative	False	ae	train
Q8TEV9	Homo sapiens	Metazoa	937		negative	False	ab	train
Q8WY91	Homo sapiens	Metazoa	577		negative	False	ac	train
Q92522	Homo sapiens	Metazoa	213		negative	False	ae	train
Q969S3	Homo sapiens	Metazoa	477		negative	False	ad	train
Q96C86	Homo sapiens	Metazoa	337		negative	False	ae	train
Q96D46	Homo sapiens	Metazoa	503		negative	False	ad	train
Q96F07	Homo sapiens	Metazoa	1278		negative	False	aa	train
Q96JH7	Homo sapiens	Metazoa	1222		negative	False	ac	train
Q96KQ7	Homo sapiens	Metazoa	1210		negative	False	ac	train
Q96N11	Homo sapiens	Metazoa	449		negative	False	ad	bench
Q96PV7	Homo sapiens	Metazoa	902		negative	False	ac	train
Q96PY6	Homo sapiens	Metazoa	1258		negative	False	ae	bench
Q96RG2	Homo sapiens	Metazoa	1323		negative	False	ac	train
Q9BR61	Homo sapiens	Metazoa	282		negative	False	aa	train
Q9BRS8	Homo sapiens	Metazoa	491		negative	False	aa	bench
Q9BT49	Homo sapiens	Metazoa	309		negative	False	ac	bench
Q9BUA3	Homo sapiens	Metazoa	381		negative	False	aa	bench
Q9BX63	Homo sapiens	Metazoa	1249		negative	False	ad	train
Q9H9Q4	Homo sapiens	Metazoa	299		negative	False	ab	train
Q9HCU9	Homo sapiens	Metazoa	246		negative	False	ab	train
Q9NQV5	Homo sapiens	Metazoa	511		negative	False	ac	train
Q9NTM9	Homo sapiens	Metazoa	273		negative	False	ac	bench
Q9NVI1	Homo sapiens	Metazoa	1328		negative	False	ab	train
Q9P0W2	Homo sapiens	Metazoa	317		negative	False	ad	train
Q9UF56	Homo sapiens	Metazoa	701		negative	False	ae	train
Q9UQ13	Homo sapiens	Metazoa	582		negative	False	ae	train
Q9Y6Q9	Homo sapiens	Metazoa	1424		negative	False	ad	train
Q86WB0	Homo sapiens	Metazoa	502		negative	False	ab	train
Q12931	Homo sapiens	Metazoa	704		negative	False	ac	train
Q96TC7	Homo sapiens	Metazoa	470		negative	True	ac	train
Q9NQZ6	Homo sapiens	Metazoa	224		negative	False	ab	train
Q96QP1	Homo sapiens	Metazoa	1244		negative	False	ab	bench
Q9UPW6	Homo sapiens	Metazoa	733		negative	False	ac	train
Q969Z3	Homo sapiens	Metazoa	335		negative	False	aa	bench
Q3V6T2	Homo sapiens	Metazoa	1871		negative	False	ac	train
O43818	Homo sapiens	Metazoa	475		negative	False	ac	train
O94818	Homo sapiens	Metazoa	638		negative	False	ac	train
P0DI83	Homo sapiens	Metazoa	198		negative	False	ae	bench
Q13428	Homo sapiens	Metazoa	1488		negative	False	ab	train
Q14669	Homo sapiens	Metazoa	1992		negative	False	ab	train
Q15024	Homo sapiens	Metazoa	291		negative	False	aa	train
Q76FK4	Homo sapiens	Metazoa	1167		negative	False	ae	train
Q86WX3	Homo sapiens	Metazoa	136		negative	False	aa	train
Q8NI36	Homo sapiens	Metazoa	895		negative	False	ac	train
Q96P11	Homo sapiens	Metazoa	429		negative	False	ae	bench
Q9BSJ6	Homo sapiens	Metazoa	248		negative	False	ae	train
Q9H6R4	Homo sapiens	Metazoa	1146		negative	False	ae	train
Q9HA38	Homo sapiens	Metazoa	289		negative	False	ac	train
Q9Y4W2	Homo sapiens	Metazoa	734		negative	False	ae	bench
P10176	Homo sapiens	Metazoa	69		negative	True	ae	train
Q86VD7	Homo sapiens	Metazoa	318		negative	True	aa	bench
Q8IVP5	Homo sapiens	Metazoa	155		negative	True	aa	train
Q9BUB7	Homo sapiens	Metazoa	260		negative	False	ac	train
Q9HD23	Homo sapiens	Metazoa	443		negative	False	ad	bench
Q9UJS0	Homo sapiens	Metazoa	675		negative	False	ad	train
Q9UIL1	Homo sapiens	Metazoa	159		negative	False	aa	train
Q6VVB1	Homo sapiens	Metazoa	395		negative	False	ae	bench
Q96KR7	Homo sapiens	Metazoa	559		negative	False	ac	train
Q9GZN7	Homo sapiens	Metazoa	287		negative	False	aa	train
Q8TB36	Homo sapiens	Metazoa	358		negative	False	ab	bench
Q9H061	Homo sapiens	Metazoa	195		negative	True	ad	train
Q9P0U1	Homo sapiens	Metazoa	55		negative	True	ac	train
Q9Y2R0	Homo sapiens	Metazoa	106		negative	True	ae	train
Q9BPX6	Homo sapiens	Metazoa	476		negative	False	ad	train
Q9Y5J6	Homo sapiens	Metazoa	103		negative	False	ac	train
Q16635	Homo sapiens	Metazoa	262		negative	False	ad	train
Q96HS1	Homo sapiens	Metazoa	289		negative	True	ae	train
O95707	Homo sapiens	Metazoa	220		negative	False	aa	train
P78345	Homo sapiens	Metazoa	283		negative	False	aa	bench
