Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P03950	reviewed	ANGI_HUMAN	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	ANG RNASE5	Homo sapiens (Human)	147
P03954	reviewed	PEPA1_MACFU	Pepsin A-1 (EC 3.4.23.1) (Pepsin III-3)	PGA	Macaca fuscata fuscata (Japanese macaque)	388
P03971	reviewed	MIS_HUMAN	Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS)	AMH MIF	Homo sapiens (Human)	560
P03973	reviewed	SLPI_HUMAN	Antileukoproteinase (ALP) (BLPI) (HUSI-1) (Mucus proteinase inhibitor) (MPI) (Protease inhibitor WAP4) (Secretory leukocyte protease inhibitor) (Seminal proteinase inhibitor) (WAP four-disulfide core domain protein 4)	SLPI WAP4 WFDC4	Homo sapiens (Human)	132
P04002	reviewed	ANPA_PSEAM	Ice-structuring protein A (ISP A) (Antifreeze protein A) (HPLC6)		Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	82
P04003	reviewed	C4BPA_HUMAN	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)	C4BPA C4BP	Homo sapiens (Human)	597
P04004	reviewed	VTNC_HUMAN	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	VTN	Homo sapiens (Human)	478
P04054	reviewed	PA21B_HUMAN	Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B)	PLA2G1B PLA2 PLA2A PPLA2	Homo sapiens (Human)	148
P04058	reviewed	ACES_TETCF	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ache	Tetronarce californica (Pacific electric ray) (Torpedo californica)	586
P04062	reviewed	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC	Homo sapiens (Human)	536
P04090	reviewed	REL2_HUMAN	Prorelaxin H2 [Cleaved into: Relaxin B chain; Relaxin A chain]	RLN2	Homo sapiens (Human)	185
P04155	reviewed	TFF1_HUMAN	Trefoil factor 1 (Breast cancer estrogen-inducible protein) (PNR-2) (Polypeptide P1.A) (hP1.A) (Protein pS2)	TFF1 BCEI PS2	Homo sapiens (Human)	84
P04180	reviewed	LCAT_HUMAN	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)	LCAT	Homo sapiens (Human)	440
P04196	reviewed	HRG_HUMAN	Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG)	HRG	Homo sapiens (Human)	525
P04217	reviewed	A1BG_HUMAN	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1BG	Homo sapiens (Human)	495
P04275	reviewed	VWF_HUMAN	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]	VWF F8VWF	Homo sapiens (Human)	2813
P04276	reviewed	VTDB_RAT	Vitamin D-binding protein (DBP) (VDB) (Gc-globulin) (Group-specific component)	Gc Dbp	Rattus norvegicus (Rat)	476
P04278	reviewed	SHBG_HUMAN	Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin)	SHBG	Homo sapiens (Human)	402
P04280	reviewed	PRP1_HUMAN	Basic salivary proline-rich protein 1 (Salivary proline-rich protein) [Cleaved into: Proline-rich peptide II-2; Basic peptide IB-6; Peptide P-H]	PRB1	Homo sapiens (Human)	392
P04405	reviewed	GLYG2_SOYBN	Glycinin G2 (Glycinin 11S G2) (Glycinin A2B1a) (allergen Gly m 6) [Cleaved into: Glycinin A2 subunit; Glycinin B1a subunit]	GY2 Glyma03g32020	Glycine max (Soybean) (Glycine hispida)	485
P04421	reviewed	LYSC_BOVIN	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ1	Bos taurus (Bovine)	147
P04439	reviewed	HLAA_HUMAN	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365
P04634	reviewed	LIPF_RAT	Gastric triacylglycerol lipase (GL) (Gastric lipase) (EC 3.1.1.3) (Lingual lipase)	Lipf	Rattus norvegicus (Rat)	395
P04639	reviewed	APOA1_RAT	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I)]	Apoa1	Rattus norvegicus (Rat)	259
P04653	reviewed	CASA1_SHEEP	Alpha-S1-casein	CSN1S1	Ovis aries (Sheep)	214
P04785	reviewed	PDIA1_RAT	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta)	P4hb Pdia1	Rattus norvegicus (Rat)	509
P04844	reviewed	RPN2_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2)	RPN2	Homo sapiens (Human)	631
P04916	reviewed	RET4_RAT	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP)	Rbp4	Rattus norvegicus (Rat)	201
P04925	reviewed	PRIO_MOUSE	Major prion protein (PrP) (PrP27-30) (PrP33-35C) (CD antigen CD230)	Prnp Prn-p Prp	Mus musculus (Mouse)	254
P04937	reviewed	FINC_RAT	Fibronectin (FN) [Cleaved into: Anastellin]	Fn1	Rattus norvegicus (Rat)	2477
P05000	reviewed	IFNW1_HUMAN	Interferon omega-1 (Interferon alpha-II-1)	IFNW1	Homo sapiens (Human)	195
P05014	reviewed	IFNA4_HUMAN	Interferon alpha-4 (IFN-alpha-4) (Interferon alpha-4B) (Interferon alpha-76) (Interferon alpha-M1)	IFNA4	Homo sapiens (Human)	189
P05059	reviewed	CMGA_BOVIN	Chromogranin-A (CgA) (Pituitary secretory protein I) (SP-I) [Cleaved into: Vasostatin-1; Chromofungin; Chromostatin; Chromacin; Pancreastatin; WE-14; Catestatin; GE-25; Serpinin-RRG; Serpinin; p-Glu serpinin precursor]	CHGA	Bos taurus (Bovine)	449
P05060	reviewed	SCG1_HUMAN	Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide]	CHGB SCG1	Homo sapiens (Human)	677
P05067	reviewed	A4_HUMAN	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770
P05090	reviewed	APOD_HUMAN	Apolipoprotein D (Apo-D) (ApoD)	APOD	Homo sapiens (Human)	189
P05113	reviewed	IL5_HUMAN	Interleukin-5 (IL-5) (B-cell differentiation factor I) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF)	IL5	Homo sapiens (Human)	134
P05117	reviewed	PGLR_SOLLC	Polygalacturonase-2 (PG) (EC 3.2.1.15) (PG-2A) (PG-2B) (Pectinase)	PG2 PG PG2A PG2B	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	457
P05154	reviewed	IPSP_HUMAN	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)	SERPINA5 PCI PLANH3 PROCI	Homo sapiens (Human)	406
P05155	reviewed	IC1_HUMAN	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	SERPING1 C1IN C1NH	Homo sapiens (Human)	500
P05160	reviewed	F13B_HUMAN	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)	F13B	Homo sapiens (Human)	661
P05164	reviewed	PERM_HUMAN	Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase; 89 kDa myeloperoxidase; 84 kDa myeloperoxidase; Myeloperoxidase light chain; Myeloperoxidase heavy chain]	MPO	Homo sapiens (Human)	745
P05186	reviewed	PPBT_HUMAN	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNS-ALP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)	ALPL	Homo sapiens (Human)	524
P05187	reviewed	PPB1_HUMAN	Alkaline phosphatase, placental type (EC 3.1.3.1) (Alkaline phosphatase Regan isozyme) (Placental alkaline phosphatase 1) (PLAP-1)	ALPP PLAP	Homo sapiens (Human)	535
P05231	reviewed	IL6_HUMAN	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)	IL6 IFNB2	Homo sapiens (Human)	212
P05305	reviewed	EDN1_HUMAN	Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1]	EDN1	Homo sapiens (Human)	212
P05307	reviewed	PDIA1_BOVIN	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	P4HB PDIA1	Bos taurus (Bovine)	510
P05371	reviewed	CLUS_RAT	Clusterin (Dimeric acid glycoprotein) (DAG) (Sulfated glycoprotein 2) (SGP-2) (Testosterone repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain; Clusterin alpha chain]	Clu	Rattus norvegicus (Rat)	447
P05408	reviewed	7B2_HUMAN	Neuroendocrine protein 7B2 (Pituitary polypeptide) (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide]	SCG5 SGNE1	Homo sapiens (Human)	212
P05451	reviewed	REG1A_HUMAN	Lithostathine-1-alpha (Islet cells regeneration factor) (ICRF) (Islet of Langerhans regenerating protein) (REG) (Pancreatic stone protein) (PSP) (Pancreatic thread protein) (PTP) (Regenerating islet-derived protein 1-alpha) (REG-1-alpha) (Regenerating protein I alpha)	REG1A PSPS PSPS1 REG	Homo sapiens (Human)	166
P05452	reviewed	TETN_HUMAN	Tetranectin (TN) (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein)	CLEC3B TNA	Homo sapiens (Human)	202
P05533	reviewed	LY6A_MOUSE	Lymphocyte antigen 6A-2/6E-1 (Ly-6A.2/Ly-6E.1) (Stem cell antigen 1) (SCA-1) (T-cell-activating protein) (TAP)	Ly6a Ly6	Mus musculus (Mouse)	134
P05543	reviewed	THBG_HUMAN	Thyroxine-binding globulin (Serpin A7) (T4-binding globulin)	SERPINA7 TBG	Homo sapiens (Human)	415
P05545	reviewed	SPA3K_RAT	Serine protease inhibitor A3K (Serpin A3K) (CPI-21) (Contrapsin-like protease inhibitor 1) (GHR-P63) (Growth hormone-regulated proteinase inhibitor) (Kallikrein-binding protein) (KBP) (SPI-2.3) (Serine protease inhibitor 2) (SPI-2) (Thyroid hormone-regulated protein)	Serpina3k Spin2b	Rattus norvegicus (Rat)	416
P05546	reviewed	HEP2_HUMAN	Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1)	SERPIND1 HCF2	Homo sapiens (Human)	499
P05555	reviewed	ITAM_MOUSE	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (CD antigen CD11b)	Itgam	Mus musculus (Mouse)	1153
P05623	reviewed	A70A_DROME	Accessory gland-specific peptide 70A (Paragonial peptide B) (Sex peptide) (SP)	SP Acp70A PAPB CG17673	Drosophila melanogaster (Fruit fly)	55
P05814	reviewed	CASB_HUMAN	Beta-casein	CSN2 CASB	Homo sapiens (Human)	226
P06028	reviewed	GLPB_HUMAN	Glycophorin-B (PAS-3) (SS-active sialoglycoprotein) (Sialoglycoprotein delta) (CD antigen CD235b)	GYPB GPB	Homo sapiens (Human)	91
P06213	reviewed	INSR_HUMAN	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	INSR	Homo sapiens (Human)	1382
P06276	reviewed	CHLE_HUMAN	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	BCHE CHE1	Homo sapiens (Human)	602
P06281	reviewed	RENI1_MOUSE	Renin-1 (EC 3.4.23.15) (Angiotensinogenase) (Kidney renin)	Ren1 Ren Ren-1	Mus musculus (Mouse)	402
P06312	reviewed	KV401_HUMAN	Immunoglobulin kappa variable 4-1 (Ig kappa chain V-IV region B17) (Ig kappa chain V-IV region JI) (Ig kappa chain V-IV region Len) (Ig kappa chain V-IV region STH)	IGKV4-1	Homo sapiens (Human)	121
P06332	reviewed	CD4_MOUSE	T-cell surface glycoprotein CD4 (T-cell differentiation antigen L3T4) (T-cell surface antigen T4/Leu-3) (CD antigen CD4)	Cd4	Mus musculus (Mouse)	457
P06399	reviewed	FIBA_RAT	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	Fga	Rattus norvegicus (Rat)	782
P06681	reviewed	CO2_HUMAN	Complement C2 (C3/C5 convertase) [Cleaved into: Complement C2a; Serine protease complement C2b (EC 3.4.21.43)]	C2	Homo sapiens (Human)	752
P06727	reviewed	APOA4_HUMAN	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	APOA4	Homo sapiens (Human)	396
P06756	reviewed	ITAV_HUMAN	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	ITGAV MSK8 VNRA VTNR	Homo sapiens (Human)	1048
P06797	reviewed	CATL1_MOUSE	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) (p39 cysteine proteinase) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	Ctsl Ctsl1	Mus musculus (Mouse)	334
P06857	reviewed	LIPR1_CANLF	Inactive pancreatic lipase-related protein 1 (PL-RP1)	PNLIPRP1 PLRP1	Canis lupus familiaris (Dog) (Canis familiaris)	467
P06858	reviewed	LIPL_HUMAN	Lipoprotein lipase (LPL) (EC 3.1.1.34) (Phospholipase A1) (EC 3.1.1.32)	LPL LIPD	Homo sapiens (Human)	475
P06859	reviewed	PA2A1_PROFL	Acidic phospholipase A2 1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 isozyme I) (pgPLA 1a/pgPLA 2a)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	138
P06865	reviewed	HEXA_HUMAN	Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)	HEXA	Homo sapiens (Human)	529
P06867	reviewed	PLMN_PIG	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]	PLG	Sus scrofa (Pig)	809
P06868	reviewed	PLMN_BOVIN	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]	PLG	Bos taurus (Bovine)	812
P07093	reviewed	GDN_HUMAN	Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2)	SERPINE2 PI7 PN1	Homo sapiens (Human)	398
P07098	reviewed	LIPF_HUMAN	Gastric triacylglycerol lipase (GL) (Gastric lipase) (EC 3.1.1.3)	LIPF	Homo sapiens (Human)	398
P07141	reviewed	CSF1_MOUSE	Macrophage colony-stimulating factor 1 (CSF-1) (MCSF) (Proteoglycan macrophage colony-stimulating factor) (PG-M-CSF) [Cleaved into: Processed macrophage colony-stimulating factor 1; Macrophage colony-stimulating factor 1 43 kDa subunit]	Csf1 Csfm	Mus musculus (Mouse)	552
P07151	reviewed	B2MG_RAT	Beta-2-microglobulin	B2m	Rattus norvegicus (Rat)	119
P07154	reviewed	CATL1_RAT	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Cyclic protein 2) (CP-2) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	Ctsl Ctsl1	Rattus norvegicus (Rat)	334
P07204	reviewed	TRBM_HUMAN	Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141)	THBD THRM	Homo sapiens (Human)	575
P07214	reviewed	SPRC_MOUSE	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	Sparc	Mus musculus (Mouse)	302
P07221	reviewed	CASQ1_RABIT	Calsequestrin-1 (Aspartactin) (Calsequestrin, skeletal muscle isoform) (Laminin-binding protein)	CASQ1	Oryctolagus cuniculus (Rabbit)	395
P07237	reviewed	PDIA1_HUMAN	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	P4HB ERBA2L PDI PDIA1 PO4DB	Homo sapiens (Human)	508
P07267	reviewed	CARP_YEAST	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)	PEP4 PHO9 PRA1 YPL154C P2585	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	405
P07288	reviewed	KLK3_HUMAN	Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase)	KLK3 APS	Homo sapiens (Human)	261
P07359	reviewed	GP1BA_HUMAN	Platelet glycoprotein Ib alpha chain (GP-Ib alpha) (GPIb-alpha) (GPIbA) (Glycoprotein Ibalpha) (Antigen CD42b-alpha) (CD antigen CD42b) [Cleaved into: Glycocalicin]	GP1BA	Homo sapiens (Human)	652
P07456	reviewed	IGF2_BOVIN	Insulin-like growth factor 2 (Erythrotropin) (Insulin-like growth factor II) (IGF-II) [Cleaved into: Preptin]	IGF2 IGF-2	Bos taurus (Bovine)	179
P07477	reviewed	TRY1_HUMAN	Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]	PRSS1 TRP1 TRY1 TRYP1	Homo sapiens (Human)	247
P07478	reviewed	TRY2_HUMAN	Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II)	PRSS2 TRY2 TRYP2	Homo sapiens (Human)	247
P07507	reviewed	MGP_BOVIN	Matrix Gla protein (MGP) [Cleaved into: Matrix Gla protein long form; Matrix Gla protein short form]	MGP	Bos taurus (Bovine)	103
P07602	reviewed	SAP_HUMAN	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]	PSAP GLBA SAP1	Homo sapiens (Human)	524
P07634	reviewed	ANFB_PIG	Natriuretic peptides B (Brain natriuretic factor prohormone) (preproBNP) (proBNP) (Gamma-brain natriuretic peptide) (Iso-ANP) [Cleaved into: NT-proBNP (NT-pro-BNP) (NT-proBNP(1-76)); Brain natriuretic peptide 32 (BNP-32); Brain natriuretic peptide 26 (BNP-26)]	NPPB	Sus scrofa (Pig)	131
P07692	reviewed	ACES_TORMA	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ache	Torpedo marmorata (Marbled electric ray)	590
P07727	reviewed	GLRA1_RAT	Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit)	Glra1 Glyr	Rattus norvegicus (Rat)	457
P07759	reviewed	SPA3K_MOUSE	Serine protease inhibitor A3K (Serpin A3K) (Contrapsin) (SPI-2)	Serpina3k Mcm2 Spi2	Mus musculus (Mouse)	418
P07808	reviewed	NPY_RAT	Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)]	Npy	Rattus norvegicus (Rat)	98
P07897	reviewed	PGCA_RAT	Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP)	Acan Agc Agc1	Rattus norvegicus (Rat)	2124
P07981	reviewed	GUN1_HYPJE	Endoglucanase EG-1 (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase)	egl1	Hypocrea jecorina (Trichoderma reesei)	459
P07982	reviewed	GUN2_HYPJE	Endoglucanase EG-II (EGII) (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase)	egl2	Hypocrea jecorina (Trichoderma reesei)	418
P07998	reviewed	RNAS1_HUMAN	Ribonuclease pancreatic (EC 4.6.1.18) (HP-RNase) (RIB-1) (RNase UpI-1) (Ribonuclease 1) (RNase 1) (Ribonuclease A) (RNase A)	RNASE1 RIB1 RNS1	Homo sapiens (Human)	156
P08001	reviewed	ACRO_PIG	Acrosin (EC 3.4.21.10) (53 kDa fucose-binding protein) [Cleaved into: Acrosin light chain; Acrosin heavy chain]	ACR	Sus scrofa (Pig)	415
P08069	reviewed	IGF1R_HUMAN	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	IGF1R	Homo sapiens (Human)	1367
P08118	reviewed	MSMB_HUMAN	Beta-microseminoprotein (Immunoglobulin-binding factor) (IGBF) (PN44) (Prostate secreted seminal plasma protein) (Prostate secretory protein of 94 amino acids) (PSP-94) (PSP94) (Seminal plasma beta-inhibin)	MSMB PRSP	Homo sapiens (Human)	114
P08125	reviewed	COAA1_CHICK	Collagen alpha-1(X) chain	COL10A1	Gallus gallus (Chicken)	674
P08174	reviewed	DAF_HUMAN	Complement decay-accelerating factor (CD antigen CD55)	CD55 CR DAF	Homo sapiens (Human)	381
P08176	reviewed	PEPT1_DERPT	Peptidase 1 (EC 3.4.22.65) (Allergen Der p I) (Major mite fecal allergen Der p 1) (allergen Der p 1)	DERP1	Dermatophagoides pteronyssinus (European house dust mite)	320
P08185	reviewed	CBG_HUMAN	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)	SERPINA6 CBG	Homo sapiens (Human)	405
P08236	reviewed	BGLR_HUMAN	Beta-glucuronidase (EC 3.2.1.31) (Beta-G1)	GUSB	Homo sapiens (Human)	651
P08253	reviewed	MMP2_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	Homo sapiens (Human)	660
P08289	reviewed	PPBT_RAT	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)	Alpl	Rattus norvegicus (Rat)	524
P08505	reviewed	IL6_MOUSE	Interleukin-6 (IL-6) (B-cell hybridoma growth factor) (Interleukin HP-1)	Il6 Il-6	Mus musculus (Mouse)	211
P08514	reviewed	ITA2B_HUMAN	Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]	ITGA2B GP2B ITGAB	Homo sapiens (Human)	1039
P08582	reviewed	TRFM_HUMAN	Melanotransferrin (Melanoma-associated antigen p97) (CD antigen CD228)	MELTF MAP97 MFI2	Homo sapiens (Human)	738
P08603	reviewed	CFAH_HUMAN	Complement factor H (H factor 1)	CFH HF HF1 HF2	Homo sapiens (Human)	1231
P08648	reviewed	ITA5_HUMAN	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	ITGA5 FNRA	Homo sapiens (Human)	1049
P08697	reviewed	A2AP_HUMAN	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2 AAP PLI	Homo sapiens (Human)	491
P08721	reviewed	OSTP_RAT	Osteopontin (Bone sialoprotein 1) (Secreted phosphoprotein 1) (SPP-1)	Spp1 2b7 Spp-1	Rattus norvegicus (Rat)	317
P08751	reviewed	LSHB_HORSE	Lutropin/choriogonadotropin subunit beta (LSH-B/CG-B) (Luteinizing hormone subunit beta) (Lutropin/choriogonadotropin beta chain)	LHB	Equus caballus (Horse)	169
P08796	reviewed	CSA_DICDI	Contact site A protein (CSA) (Cell adhesion molecule gp80) (Membrane-associated glycoprotein gp80)	csaA DDB_G0289073	Dictyostelium discoideum (Social amoeba)	514
